wavelength,power,intensity
280.039,0.35,1.95E-43
280.253,-0.3,-1.67E-43
280.467,-0.85,-4.74E-43
280.682,-0.21,-1.17E-43
280.896,-0.32,-1.79E-43
281.111,0.04,2.24E-44
281.325,-0.3,-1.68E-43
281.539,-0.05,-2.80E-44
281.754,-0.21,-1.18E-43
281.968,0.44,2.47E-43
282.182,0.04,2.24E-44
282.397,-0.37,-2.08E-43
282.611,0.06,3.37E-44
282.825,0.07,3.94E-44
283.039,-0.02,-1.13E-44
283.254,0.09,5.07E-44
283.468,-0.06,-3.38E-44
283.682,0.2,1.13E-43
283.896,-0.47,-2.65E-43
284.111,0.08,4.52E-44
284.325,-0.45,-2.54E-43
284.539,-0.28,-1.58E-43
284.753,-0.28,-1.59E-43
284.967,0.05,2.83E-44
285.181,0.13,7.37E-44
285.395,-0.02,-1.13E-44
285.61,-0.07,-3.97E-44
285.824,-0.02,-1.14E-44
286.038,-0.34,-1.93E-43
286.252,-0.14,-7.97E-44
286.466,-0.13,-7.40E-44
286.68,-0.23,-1.31E-43
286.894,-0.07,-3.99E-44
287.108,0.06,3.42E-44
287.322,0.46,2.63E-43
287.536,-0.05,-2.86E-44
287.75,-0.71,-4.06E-43
287.964,-0.2,-1.14E-43
288.178,-0.17,-9.74E-44
288.392,-0.28,-1.61E-43
288.606,0.08,4.59E-44
288.82,0.07,4.02E-44
289.034,0.2,1.15E-43
289.248,0,0
289.461,-0.1,-5.75E-44
289.675,0.21,1.21E-43
289.889,-0.2,-1.15E-43
290.103,-0.2,-1.15E-43
290.317,0,0
290.531,-0.22,-1.27E-43
290.744,-0.38,-2.20E-43
290.958,0.15,8.68E-44
291.172,-0.31,-1.79E-43
291.386,0.07,4.06E-44
291.6,-0.46,-2.67E-43
291.813,-0.08,-4.64E-44
292.027,-0.18,-1.05E-43
292.241,0.26,1.51E-43
292.454,0.26,1.51E-43
292.668,-0.15,-8.73E-44
292.882,0.09,5.24E-44
293.096,0.19,1.11E-43
293.309,-0.01,-5.83E-45
293.523,0,0
293.736,-0.22,-1.28E-43
293.95,-0.14,-8.18E-44
294.164,0.04,2.34E-44
294.377,-0.34,-1.99E-43
294.591,-0.14,-8.20E-44
294.804,-0.13,-7.62E-44
295.018,-0.22,-1.29E-43
295.232,-0.09,-5.28E-44
295.445,-0.05,-2.94E-44
295.659,-0.12,-7.05E-44
295.872,-0.46,-2.71E-43
296.086,0.2,1.18E-43
296.299,-0.64,-3.77E-43
296.512,-0.39,-2.30E-43
296.726,0.07,4.13E-44
296.939,-0.19,-1.12E-43
297.153,0.04,2.36E-44
297.366,0.2,1.18E-43
297.58,-0.64,-3.79E-43
297.793,-0.05,-2.96E-44
298.006,-0.48,-2.84E-43
298.22,-0.2,-1.19E-43
298.433,-0.42,-2.49E-43
298.646,0.16,9.50E-44
298.86,-0.16,-9.51E-44
299.073,-0.1,-5.95E-44
299.286,-0.26,-1.55E-43
299.5,-0.06,-3.57E-44
299.713,-0.04,-2.38E-44
299.926,-0.14,-8.35E-44
300.139,0.18,1.07E-43
300.353,-0.5,-2.99E-43
300.566,0.18,1.08E-43
300.779,-0.16,-9.57E-44
300.992,-0.3,-1.80E-43
301.206,-0.09,-5.39E-44
301.419,0.04,2.40E-44
301.632,-0.1,-6.00E-44
301.845,0.31,1.86E-43
302.058,-0.08,-4.80E-44
302.271,-0.12,-7.21E-44
302.484,-0.19,-1.14E-43
302.697,-0.02,-1.20E-44
302.911,-0.22,-1.32E-43
303.124,-0.24,-1.45E-43
303.337,0.13,7.84E-44
303.55,-0.35,-2.11E-43
303.763,-0.2,-1.21E-43
303.976,-0.24,-1.45E-43
304.189,-0.34,-2.06E-43
304.402,-0.05,-3.03E-44
304.615,-0.07,-4.24E-44
304.828,0.17,1.03E-43
305.041,-0.03,-1.82E-44
305.254,-0.04,-2.43E-44
305.467,-0.1,-6.07E-44
305.679,-0.23,-1.40E-43
305.892,-0.2,-1.22E-43
306.105,0.13,7.91E-44
306.318,-0.01,-6.09E-45
306.531,-0.47,-2.86E-43
306.744,-0.12,-7.32E-44
306.957,0.14,8.54E-44
307.17,0.1,6.11E-44
307.382,0.02,1.22E-44
307.595,-0.14,-8.56E-44
307.808,0.09,5.51E-44
308.021,-0.09,-5.51E-44
308.233,-0.13,-7.97E-44
308.446,-0.34,-2.08E-43
308.659,0.01,6.14E-45
308.872,-0.39,-2.39E-43
309.084,-0.09,-5.53E-44
309.297,0.11,6.76E-44
309.51,0.03,1.85E-44
309.722,-0.08,-4.93E-44
309.935,-0.25,-1.54E-43
310.148,0.07,4.32E-44
310.36,0.07,4.32E-44
310.573,0.05,3.09E-44
310.786,-0.61,-3.77E-43
310.998,0.19,1.17E-43
311.211,-0.09,-5.57E-44
311.423,-0.29,-1.80E-43
311.636,-0.12,-7.43E-44
311.848,-0.39,-2.42E-43
312.061,-0.64,-3.97E-43
312.274,-0.06,-3.72E-44
312.486,-0.25,-1.55E-43
312.699,-0.27,-1.68E-43
312.911,-0.05,-3.11E-44
313.123,-0.26,-1.62E-43
313.336,0.16,9.97E-44
313.548,-0.22,-1.37E-43
313.761,-0.33,-2.06E-43
313.973,-0.18,-1.12E-43
314.186,-0.1,-6.25E-44
314.398,-0.25,-1.56E-43
314.61,-0.14,-8.76E-44
314.823,0.01,6.26E-45
315.035,-0.22,-1.38E-43
315.247,-0.11,-6.89E-44
