wlen,transmission
269.51286,1.00E-06
269.70703,1.00E-06
269.9012,1.00E-06
270.09537,1.00E-06
270.28954,1.00E-06
270.48371,1.00E-06
270.67788,1.00E-06
270.87205,1.00E-06
271.06622,1.00E-06
271.26039,1.00E-06
271.45456,1.00E-06
271.64873,1.00E-06
271.8429,1.00E-06
272.03707,1.00E-06
272.23124,1.00E-06
272.42541,1.00E-06
272.61958,1.00E-06
272.81375,1.00E-06
273.00792,1.00E-06
273.20209,1.00E-06
273.39626,1.00E-06
273.59043,1.00E-06
273.7846,1.00E-06
273.97877,1.00E-06
274.17294,1.00E-06
274.36711,1.00E-06
274.56128,1.00E-06
274.75545,1.00E-06
274.94962,1.00E-06
275.14379,1.00E-06
275.33796,1.00E-06
275.53213,1.00E-06
275.7263,1.00E-06
275.92047,1.00E-06
276.11464,1.00E-06
276.30881,1.00E-06
276.50298,1.00E-06
276.69715,1.00E-06
276.89132,1.00E-06
277.08549,1.00E-06
277.27966,1.00E-06
277.47383,1.00E-06
277.668,1.00E-06
277.86217,1.00E-06
278.05634,1.00E-06
278.25051,1.00E-06
278.44468,1.00E-06
278.63885,1.00E-06
278.83302,1.00E-06
279.02719,1.00E-06
279.22136,1.00E-06
279.41553,1.00E-06
279.6097,1.00E-06
279.80387,1.00E-06
279.99804,1.00E-06
280.19221,1.00E-06
280.38638,1.00E-06
280.58055,1.00E-06
280.77472,1.00E-06
280.96889,1.00E-06
281.16306,1.00E-06
281.35723,1.00E-06
281.5514,1.00E-06
281.74557,1.00E-06
281.93974,1.00E-06
282.13391,1.00E-06
282.32808,1.00E-06
282.52225,1.00E-06
282.71642,1.00E-06
282.91059,1.00E-06
283.10476,1.00E-06
283.29893,1.00E-06
283.4931,1.00E-06
283.68727,1.00E-06
283.88144,1.00E-06
284.07561,1.00E-06
284.26978,1.00E-06
284.46395,1.00E-06
284.65812,1.00E-06
284.85229,1.00E-06
285.04646,1.00E-06
285.24063,1.00E-06
285.4348,1.00E-06
285.62897,1.00E-06
285.82314,1.00E-06
286.01731,1.00E-06
286.21148,1.00E-06
286.40565,1.00E-06
286.59982,1.00E-06
286.79399,1.00E-06
286.98816,1.00E-06
287.18233,1.00E-06
287.3765,1.00E-06
287.57067,1.00E-06
287.76484,1.00E-06
287.95901,1.00E-06
288.15318,1.00E-06
288.34735,1.00E-06
288.54152,1.00E-06
288.73569,1.00E-06
288.92986,1.00E-06
289.12403,1.00E-06
289.3182,1.00E-06
289.51237,1.00E-06
289.70654,1.00E-06
289.90071,1.00E-06
290.09488,9.97E-07
290.28905,9.37E-07
290.48322,7.75E-07
290.67739,6.20E-07
290.87156,7.08E-07
291.06573,1.24E-06
291.2599,2.15E-06
291.45407,3.00E-06
291.64824,3.22E-06
291.84241,2.40E-06
292.03658,5.73E-07
292.23075,-1.74E-06
292.42492,-3.67E-06
292.61909,-4.19E-06
292.81326,-2.56E-06
293.00743,1.23E-06
293.2016,6.15E-06
293.39577,1.03E-05
293.58994,1.15E-05
293.78411,8.64E-06
293.97828,1.83E-06
294.17245,-6.88E-06
294.36662,-1.43E-05
294.56079,-1.71E-05
294.75496,-1.31E-05
294.94913,-2.42E-06
295.1433,1.20E-05
295.33747,2.49E-05
295.53164,3.06E-05
295.72581,2.55E-05
295.91998,9.55E-06
296.11415,-1.28E-05
296.30832,-3.38E-05
296.50249,-4.49E-05
296.69666,-3.99E-05
296.89083,-1.73E-05
297.085,1.77E-05
297.27917,5.38E-05
297.47334,7.67E-05
297.66751,7.39E-05
297.86168,4.03E-05
298.05585,-1.85E-05
298.25002,-8.65E-05
298.44419,-0.000139706
298.63836,-0.000151799
298.83253,-0.000100735
299.0267,2.45E-05
299.22087,0.000219343
299.41504,0.000462707
299.60921,0.00072299
299.80338,0.000965491
299.99755,0.00116
300.19172,0.00128637
300.38589,0.001337157
300.58006,0.001319877
300.77423,0.001255334
300.9684,0.001172216
301.16257,0.001099204
301.35674,0.001056182
301.55091,0.001051655
301.74508,0.001083438
301.93925,0.001140451
302.13342,0.001205241
302.32759,0.001256018
302.52176,0.001273865
302.71593,0.001250715
302.9101,0.001192754
303.10427,0.001118679
303.29844,0.001051649
303.49261,0.001013634
303.68678,0.001023172
303.88095,0.001091084
304.07512,0.001216262
304.26929,0.001381214
304.46346,0.00155666
304.65763,0.001717148
304.8518,0.001851918
305.04597,0.001968379
305.24014,0.002084762
305.43431,0.002219785
305.62848,0.00239154
305.82265,0.002611743
306.01682,0.00287829
306.21099,0.003167659
306.40516,0.003434111
306.59933,0.003632074
306.7935,0.003737414
306.98767,0.003760331
307.18184,0.003744909
307.37601,0.003755286
307.57018,0.003872339
307.76435,0.004184108
307.95852,0.004767719
308.15269,0.0056672
308.34686,0.006871843
308.54103,0.008323952
308.7352,0.009939137
308.92937,0.011625057
309.12354,0.013296252
309.31771,0.014880236
309.51188,0.016334116
309.70605,0.017659561
309.90022,0.018900054
310.09439,0.020123652
310.28856,0.021392487
310.48273,0.022743342
310.6769,0.024184874
310.87107,0.025695969
311.06524,0.027229166
311.25941,0.028716763
311.45358,0.030092335
311.64775,0.031330107
311.84192,0.032468986
312.03609,0.033615472
312.23026,0.034920043
312.42443,0.036539945
312.6186,0.038614228
312.81277,0.041233175
313.00694,0.04441057
313.20111,0.048066651
313.39528,0.052033289
313.58945,0.056099609
313.78362,0.060064128
313.97779,0.06377946
314.17196,0.067179986
314.36613,0.070286496
314.5603,0.073199365
314.75447,0.076069355
314.94864,0.079052056
315.14281,0.082259678
315.33698,0.085723166
315.53115,0.08938448
315.72532,0.09311387
315.91949,0.096742958
316.11366,0.10010665
316.30783,0.103083624
316.502,0.105627559
316.69617,0.107778805
316.89034,0.109653142
317.08451,0.111412347
317.27868,0.113223963
317.47285,0.115220216
317.66702,0.117467228
317.86119,0.119952162
318.05536,0.122590628
318.24953,0.125253149
318.4437,0.127803157
318.63787,0.130135066
318.83204,0.132206697
319.02621,0.134058673
319.22038,0.135816216
319.41455,0.137669689
319.60872,0.139833539
319.80289,0.142499159
319.99706,0.145791517
320.19123,0.149739378
320.3854,0.154266766
320.57957,0.159200105
320.77374,0.16429469
320.96791,0.169276057
321.16208,0.173889385
321.35625,0.177948472
321.55042,0.181356726
321.74459,0.184105608
321.93876,0.186260356
322.13293,0.187938794
322.3271,0.189290515
322.52127,0.190462497
322.71544,0.191568533
322.90961,0.192678131
323.10378,0.193821886
323.29795,0.195010341
323.49212,0.196243547
323.68629,0.197511119
